Date,DJI,GSPC,NDX,RUT
2022-03-16,34063.1015625,4357.85986328125,13956.7900390625,2030.719970703125
2022-03-17,34480.76171875,4411.669921875,14118.599609375,2065.02001953125
2022-03-18,34754.9296875,4463.1201171875,14420.080078125,2086.139892578125
2022-03-21,34552.98828125,4461.18017578125,14376.08984375,2065.93994140625
2022-03-22,34807.4609375,4511.60986328125,14654.330078125,2088.340087890625
2022-03-23,34358.5,4456.240234375,14447.5498046875,2052.2099609375
2022-03-24,34707.94140625,4520.16015625,14765.6904296875,2075.43994140625
2022-03-25,34861.23828125,4543.06005859375,14754.3095703125,2077.97998046875
2022-03-28,34955.890625,4575.52001953125,14987.400390625,2078.06005859375
2022-03-29,35294.19140625,4631.60009765625,15239.3203125,2133.10009765625
2022-03-30,35228.80859375,4602.4501953125,15071.5498046875,2091.070068359375
2022-03-31,34678.3515625,4530.41015625,14838.490234375,2070.1298828125
2022-04-01,34818.26953125,4545.85986328125,14861.2099609375,2091.110107421875
2022-04-04,34921.87890625,4582.64013671875,15159.580078125,2095.43994140625
2022-04-05,34641.1796875,4525.1201171875,14820.6396484375,2046.0400390625
2022-04-06,34496.51171875,4481.14990234375,14498.8896484375,2016.93994140625
2022-04-07,34583.5703125,4500.2099609375,14531.8095703125,2009.800048828125
2022-04-08,34721.12109375,4488.27978515625,14327.259765625,1994.56005859375
2022-04-11,34308.078125,4412.52978515625,13990.2099609375,1980.3199462890625
2022-04-12,34220.359375,4397.4501953125,13940.240234375,1986.93994140625
2022-04-13,34564.58984375,4446.58984375,14217.2900390625,2025.0999755859375
2022-04-14,34451.23046875,4392.58984375,13893.2099609375,2004.97998046875
2022-04-18,34411.69140625,4391.68994140625,13910.759765625,1990.1300048828125
2022-04-19,34911.19921875,4462.2099609375,14210.259765625,2030.77001953125
2022-04-20,35160.7890625,4459.4501953125,13998.5302734375,2038.18994140625
2022-04-21,34792.76171875,4393.66015625,13720.4501953125,1991.4599609375
2022-04-22,33811.3984375,4271.77978515625,13356.8701171875,1940.6600341796875
2022-04-25,34049.4609375,4296.1201171875,13533.2197265625,1954.199951171875
2022-04-26,33240.1796875,4175.2001953125,13009.7099609375,1890.469970703125
2022-04-27,33301.9296875,4183.9599609375,13003.3603515625,1884.0400390625
2022-04-28,33916.390625,4287.5,13456.0595703125,1917.93994140625
2022-04-29,32977.2109375,4131.93017578125,12854.7998046875,1864.0999755859375
2022-05-02,33061.5,4155.3798828125,13075.849609375,1882.9100341796875
2022-05-03,33128.7890625,4175.47998046875,13089.900390625,1898.8599853515625
2022-05-04,34061.05859375,4300.169921875,13535.7099609375,1949.9200439453125
2022-05-05,32997.96875,4146.8701171875,12850.5498046875,1871.1500244140625
2022-05-06,32899.37109375,4123.33984375,12693.5302734375,1839.56005859375
2022-05-09,32245.69921875,3991.239990234375,12187.7197265625,1762.0799560546875
2022-05-10,32160.740234375,4001.050048828125,12345.8603515625,1761.7900390625
2022-05-11,31834.109375,3935.179931640625,11967.5595703125,1718.1400146484375
2022-05-12,31730.30078125,3930.080078125,11945.5,1739.3800048828125
2022-05-13,32196.66015625,4023.889892578125,12387.400390625,1792.6700439453125
2022-05-16,32223.419921875,4008.010009765625,12243.580078125,1783.4300537109375
2022-05-17,32654.58984375,4088.85009765625,12564.099609375,1840.300048828125
2022-05-18,31490.0703125,3923.679931640625,11928.3095703125,1774.8499755859375
2022-05-19,31253.130859375,3900.7900390625,11875.6298828125,1776.219970703125
2022-05-20,31261.900390625,3901.360107421875,11835.6201171875,1773.27001953125
2022-05-23,31880.240234375,3973.75,12034.2802734375,1792.760009765625
2022-05-24,31928.619140625,3941.47998046875,11769.83984375,1764.8299560546875
2022-05-25,32120.279296875,3978.72998046875,11943.9296875,1799.1600341796875
2022-05-26,32637.189453125,4057.840087890625,12276.7900390625,1838.239990234375
2022-05-27,33212.9609375,4158.240234375,12681.419921875,1887.9000244140625
2022-05-31,32990.12109375,4132.14990234375,12642.099609375,1864.0400390625
2022-06-01,32813.23046875,4101.22998046875,12548.3603515625,1854.8199462890625
2022-06-02,33248.28125,4176.81982421875,12892.8896484375,1897.6700439453125
2022-06-03,32899.69921875,4108.5400390625,12548.0302734375,1883.050048828125
2022-06-06,32915.78125,4121.43017578125,12599.6298828125,1889.8900146484375
2022-06-07,33180.140625,4160.68017578125,12711.6796875,1919.56005859375
2022-06-08,32910.8984375,4115.77001953125,12615.1298828125,1891.010009765625
2022-06-09,32272.7890625,4017.820068359375,12269.7802734375,1850.8599853515625
2022-06-10,31392.7890625,3900.860107421875,11832.8203125,1800.280029296875
2022-06-13,30516.740234375,3749.6298828125,11288.3203125,1714.5899658203125
2022-06-14,30364.830078125,3735.47998046875,11311.6904296875,1707.8299560546875
2022-06-15,30668.529296875,3789.989990234375,11593.76953125,1731.1400146484375
2022-06-16,29927.0703125,3666.77001953125,11127.5703125,1649.8399658203125
2022-06-17,29888.779296875,3674.840087890625,11265.990234375,1665.68994140625
2022-06-21,30530.25,3764.7900390625,11546.759765625,1694.030029296875
2022-06-22,30483.130859375,3759.889892578125,11527.7099609375,1690.280029296875
2022-06-23,30677.359375,3795.72998046875,11697.6796875,1711.6700439453125
2022-06-24,31500.6796875,3911.739990234375,12105.849609375,1765.739990234375
2022-06-27,31438.259765625,3900.110107421875,12008.240234375,1771.739990234375
2022-06-28,30946.990234375,3821.550048828125,11637.76953125,1738.8399658203125
2022-06-29,31029.310546875,3818.830078125,11658.259765625,1719.3699951171875
2022-06-30,30775.4296875,3785.3798828125,11503.7197265625,1707.989990234375
2022-07-01,31097.259765625,3825.330078125,11585.6796875,1727.760009765625
2022-07-05,30967.8203125,3831.389892578125,11779.900390625,1741.3299560546875
2022-07-06,31037.6796875,3845.080078125,11852.58984375,1727.550048828125
2022-07-07,31384.55078125,3902.6201171875,12109.0498046875,1769.5999755859375
2022-07-08,31338.150390625,3899.3798828125,12125.6904296875,1769.3599853515625
2022-07-11,31173.83984375,3854.429931640625,11860.2802734375,1732.010009765625
2022-07-12,30981.330078125,3818.800048828125,11744.990234375,1728.1800537109375
2022-07-13,30772.7890625,3801.780029296875,11728.5302734375,1726.0400390625
2022-07-14,30630.169921875,3790.3798828125,11768.400390625,1707.510009765625
2022-07-15,31288.259765625,3863.159912109375,11983.6201171875,1744.3699951171875
2022-07-18,31072.609375,3830.85009765625,11877.5,1738.4200439453125
2022-07-19,31827.05078125,3936.68994140625,12249.419921875,1799.3199462890625
2022-07-20,31874.83984375,3959.89990234375,12439.6796875,1827.949951171875
